@MeasurementDateGMT,@Value,SpeciesCode,SiteCode,SpeciesName,SiteName,SiteType,Latitude,Longitude
2025-11-05 10:00:00,39.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 11:00:00,39.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 12:00:00,40.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 13:00:00,41.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 14:00:00,40.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 15:00:00,31.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 16:00:00,32.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 17:00:00,27.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 18:00:00,27.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 19:00:00,25.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 20:00:00,28.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 21:00:00,32.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 22:00:00,28.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-05 23:00:00,30.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 00:00:00,24.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 01:00:00,30.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 02:00:00,34.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 03:00:00,37.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 04:00:00,41.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 05:00:00,41.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 06:00:00,35.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 07:00:00,34.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 08:00:00,29.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 09:00:00,26.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 10:00:00,29.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 11:00:00,35.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 12:00:00,47.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 13:00:00,50.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 14:00:00,46.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 15:00:00,46.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 16:00:00,42.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 17:00:00,43.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 18:00:00,45.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 19:00:00,43.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 20:00:00,35.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 21:00:00,32.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 22:00:00,34.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-06 23:00:00,34.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
