uri,uri_code,pollutant_name,pollutant_code,definition,status
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2864,2864,PFHpA (precip),PFHpA,PFHpA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2865,2865,PFOA (precip),PFOA,PFOA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2866,2866,PFNA (precip),PFNA,PFNA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2867,2867,PFDA (precip),PFDA,PFDA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2868,2868,PFUnDA (precip),PFUnDA,PFUnDA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2871,2871,PFBS (precip),PFBS,PFBS - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2872,2872,PFHxS (precip),PFHxS,PFHxS - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2873,2873,PFOSA (precip),PFOSA,PFOSA - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2874,2874,6:2-FTS (precip),6:2-FTS,6:2-FTS - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2875,2875,PFOS (precip),PFOS,PFOS - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2876,2876,PFDS (precip),PFDS,PFDS - recommended unit: ng.l-1,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/29,29,Benzo(a)pyrene (precip),BaP,BaP - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3,3,Strong acidity (air),SA,SA - recommended unit: µg SO2/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/30,30,Polyaromatic hydrocarbons (air+aerosol),PAH,PAH - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3012,3012,Lead in TSP (aerosol),Pb in TSP,Pb in TSP - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3013,3013,Mercury in TSP (aerosol),Hg in TSP,Hg in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3014,3014,Cadmium in TSP (aerosol),Cd in TSP,Cd in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3015,3015,Nickel in TSP (aerosol),Ni in TSP,Ni in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3016,3016,Chromium in TSP (aerosol),Cr in TSP,Cr in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3017,3017,Manganese in TSP (aerosol),Mn in TSP,Mn in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3018,3018,Arsenic in TSP (aerosol),As in TSP,As in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/302,302,CFC_11 (air),CFC-11,CFC-11 - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/303,303,CFC_113 (air),CFC-113,CFC-113 - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/304,304,CFC_12 (air),CFC-12,CFC-12 - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3063,3063,Zinc in TSP (aerosol),Zn in TSP,Zn in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/307,307,HCFC_123 (air),HCFC-123,HCFC-123 - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3073,3073,Copper in TSP (aerosol),Cu in TSP,Cu in TSP - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/308,308,HCFC_22 (air),HCFC-22,HCFC-22 - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/309,309,N1methylnaphtalene (air+aerosol),1-methylnaphtalene,1-methylnaphtalene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/31,31,Vinyl chloride (air),VC,VC - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/310,310,N1methylphenanthrene (air+aerosol),1-methylphenanthrene,1-methylphenanthrene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/311,311,N2butanone (air),Methyletylketone (MEK),Methyletylketone (MEK) - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/312,312,N2butenal (air),Crotonaldehyde,Crotonaldehyde - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/313,313,N2methylanthracene (air+aerosol),2-methylanthracene,2-methylanthracene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/314,314,N2methylbenzencarbaldehyde (air),2-methylbenzaldehyde,2-methylbenzaldehyde - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/315,315,N2methylnaphtalene (air+aerosol),2-methylnaphtalene,2-methylnaphtalene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/316,316,i-Hexane (2-methylpentane) (air),(CH3)2-CH-CH2-CH2-CH3,(CH3)2-CH-CH2-CH2-CH3 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/317,317,N2methylphenanthrene (air+aerosol),2-methylphenanthrene,2-methylphenanthrene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/318,318,N2methylpropenal (air),Methacroleine,Methacroleine - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/319,319,N2oxopropanal (air),Methylglyoxal,Methylglyoxal - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/32,32,Total non-methane hydrocarbons (air),THC (NM),THC (NM) - recommended unit: µg C/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/320,320,N2propenal (air),Acroleine,Acroleine - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/321,321,N3buten2one (air),Methylvinylketone (MVK),Methylvinylketone (MVK) - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/322,322,N3methylbenzencarbaldehyde (air),3-methylbenzaldehyde,3-methylbenzaldehyde - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/323,323,N3methylpentane (air),3-methylpentane,3-methylpentane - recommended unit: pptv,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/324,324,N4methylbenzencarbaldehyde (air),4-methylbenzaldehyde,4-methylbenzaldehyde - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/326,326,NOy (air),NOy,NOy - recommended unit: µg N/m3,valid
