feature,importance,category
BT4_PM10_t-4,0.00023355145612608802,PM10
GN3_PM10_t-3,0.00023350206526048692,PM10
GN4_NO2_t-10,0.00023348315876171256,NO2
KC1_NO2_t-5,0.00023338961811075,NO2
HP1_O3_t-6,0.00023326870414099894,O3
BT4_PM10_t-6,0.0002329334172063594,PM10
EI1_NO2_t-4,0.00023221385856388038,NO2
ME9_NO2_t-10,0.00023217122597296512,NO2
BT8_PM10_t-2,0.00023206491634758007,PM10
EI1_NO2_t-10,0.0002293579990213877,NO2
HP1_O3_t-7,0.00022929486474436976,O3
EN5_NO2_t-9,0.00022929379114498824,NO2
RI1_NO2_t-11,0.00022910954139707538,NO2
EN5_NO2_t-8,0.00022908518961062258,NO2
GR9_NO2_t-12,0.00022886934417846482,NO2
GR9_NO2_t-9,0.00022866539687162128,NO2
BT6_PM10_t-3,0.00022856165127074587,PM10
GN3_PM10_t-8,0.00022799394383495676,PM10
GN4_PM10_t-9,0.0002276439590971071,PM10
KC1_NO2_t-8,0.0002273359454078268,NO2
KC1_O3_t-6,0.00022681640092769465,O3
EA8_NO2_t-6,0.0002268052699009027,NO2
EA8_NO2_t-7,0.00022638081836295703,NO2
BX2_PM10_t-12,0.00022571689054189453,PM10
IS6_NO2_t-7,0.0002241150332670979,NO2
BX2_PM10_t-3,0.00022402834056244855,PM10
RI1_NO2_t-5,0.00022392624253612679,NO2
GN4_PM10_t-3,0.00022363857690238412,PM10
BT4_PM10_t-11,0.00022351988940514216,PM10
RI1_NO2_t-8,0.00022321815703144987,NO2
GN3_PM10_t-6,0.00022136977865297265,PM10
GN4_NO2_t-6,0.00022079688845716444,NO2
BX2_PM10_t-11,0.00022031837537710033,PM10
BX1_O3_t-5,0.00021968533653468554,O3
GN3_PM10_t-4,0.00021958372016578608,PM10
RI1_NO2_t-6,0.00021932781000520008,NO2
IS6_NO2_t-9,0.00021827912727097839,NO2
BX1_O3_t-10,0.00021734778562877883,O3
hour_t-10,0.00021728800276641277,temporal_hour
BT6_PM10_t-8,0.00021722631562686904,PM10
KC1_O3_t-8,0.000216940453706692,O3
BT8_PM10_t-3,0.00021609289897481205,PM10
GR7_NO2_t-7,0.000215812448150731,NO2
EN4_NO2_t-10,0.00021550249895384817,NO2
GN4_PM10_t-8,0.00021502419340959823,PM10
GR7_NO2_t-8,0.00021465782145058636,NO2
EN1_NO2_t-8,0.00021426793552212112,NO2
GR9_NO2_t-10,0.00021373271018519752,NO2
EN1_NO2_t-11,0.0002130057600081699,NO2
HP1_PM10_t-2,0.00021278900912773672,PM10
EI1_NO2_t-6,0.000212506860279902,NO2
GN0_NO2_t-6,0.0002123423034524478,NO2
HP1_O3_t-8,0.0002105233124851579,O3
RI1_NO2_t-7,0.00021038120424234937,NO2
KC1_O3_t-7,0.00021031592348017694,O3
BT4_PM10_t-3,0.00021030549579693675,PM10
HV1_NO2_t-7,0.00021008482158529082,NO2
KC1_NO2_t-7,0.0002096693221532565,NO2
BT6_PM10_t-4,0.00020856917897066435,PM10
HP1_NO2_t-7,0.00020841368096534342,NO2
BX2_PM10_t-8,0.00020728249995796095,PM10
KC1_O3_t-9,0.00020695219792671014,O3
BT6_NO2_t-11,0.0002066066375592149,NO2
EN1_NO2_t-7,0.00020643446388677786,NO2
BT5_NO2_t-5,0.00020599533036077722,NO2
BT8_PM10_t-10,0.0002054095773356304,PM10
HP1_O3_t-9,0.00020527966250216825,O3
IS6_NO2_t-11,0.000204955317410846,NO2
GN4_NO2_t-8,0.00020427433151152093,NO2
EN4_NO2_t-5,0.00020378116980180968,NO2
KC1_NO2_t-11,0.0002029187594853716,NO2
BX2_PM10_t-4,0.00020281043916213723,PM10
KC1_NO2_t-9,0.00020088802771466743,NO2
BT6_PM10_t-10,0.0002003310713879595,PM10
GR7_NO2_t-9,0.0002000379127108657,NO2
HP1_O3_t-10,0.00019937498691313866,O3
BT6_PM10_t-9,0.00019873371387587075,PM10
hour_t-11,0.0001985871005166228,temporal_hour
GR7_PM10_t-4,0.0001978297614892555,PM10
EI1_NO2_t-5,0.00019743726079819718,NO2
IS6_NO2_t-6,0.00019555435320842466,NO2
GN4_PM10_t-5,0.0001953933008927029,PM10
GN6_NO2_t-5,0.0001952585005186531,NO2
BT8_PM10_t-9,0.00019512170041633992,PM10
BT6_NO2_t-10,0.00019474108142383606,NO2
EN4_NO2_t-8,0.0001943752466900722,NO2
BT8_PM10_t-12,0.0001939500547827061,PM10
BT6_PM10_t-7,0.0001935980307661196,PM10
EN1_NO2_t-6,0.00019291441141605818,NO2
SK5_NO2_t-7,0.00019160893618696935,NO2
EI1_NO2_t-11,0.00019150056032171258,NO2
BT8_PM10_t-8,0.00018998885747837052,PM10
BT6_NO2_t-6,0.00018796112922148084,NO2
BT8_PM10_t-5,0.00018779197598718628,PM10
HP1_PM10_t-11,0.00018745836915331338,PM10
BT6_PM10_t-2,0.00018681719326745877,PM10
BT8_PM10_t-6,0.0001867349229869738,PM10
RI1_NO2_t-9,0.00018643883413956304,NO2
BT6_NO2_t-7,0.00018622912154811605,NO2
BT8_PM10_t-7,0.00018451583543075553,PM10
hour_t-6,0.0001840431542096039,temporal_hour
BT6_PM10_t-6,0.0001820457898177491,PM10
GR9_NO2_t-6,0.00018194762546708412,NO2
EN4_NO2_t-9,0.0001819070780061319,NO2
BT8_PM10_t-11,0.0001802213317081188,PM10
HP1_PM10_t-4,0.00018007304197326882,PM10
GN6_NO2_t-11,0.00017924100583344705,NO2
BT6_PM10_t-11,0.00017890762229262237,PM10
BT6_NO2_t-5,0.00017868979868754088,NO2
GR9_NO2_t-5,0.00017868594740081824,NO2
GN6_NO2_t-6,0.00017800352694269538,NO2
BX2_PM10_t-7,0.0001778396158279952,PM10
GN3_PM10_t-7,0.00017683392659842995,PM10
GN3_PM10_t-5,0.0001766628109287147,PM10
IS6_NO2_t-10,0.00017484386980910397,NO2
GN6_NO2_t-10,0.00017419430624701944,NO2
BT6_NO2_t-8,0.00017369023112491201,NO2
IS6_NO2_t-8,0.0001734561542558727,NO2
BT8_PM10_t-4,0.00017304344294277995,PM10
HP1_PM10_t-8,0.00017264211851098226,PM10
EN1_NO2_t-10,0.00017073888507433512,NO2
BT6_PM10_t-5,0.00017048715976204057,PM10
BT6_PM10_t-12,0.00016980958441331412,PM10
HP1_PM10_t-7,0.00016977095867200067,PM10
SK5_NO2_t-5,0.00016780607983880294,NO2
HP1_PM10_t-10,0.00016654883225632438,PM10
BX2_PM10_t-10,0.00016566571885932285,PM10
BX2_PM10_t-9,0.00016491273138239578,PM10
GR7_NO2_t-6,0.00016409849718142884,NO2
EN1_NO2_t-9,0.00016024424785800005,NO2
GR9_NO2_t-7,0.00015870062013926994,NO2
BX2_PM10_t-5,0.00015422715809659934,PM10
EN4_NO2_t-7,0.00015100616689197815,NO2
KC1_NO2_t-6,0.0001496173748854854,NO2
BX2_PM10_t-6,0.00013839334249457112,PM10
HP1_PM10_t-5,0.00013619224562146722,PM10
HP1_PM10_t-6,0.00013460179728327587,PM10
day_of_week_t-5,7.395314747257671e-05,temporal_day
day_of_week_t-9,7.01104178755604e-05,temporal_day
day_of_week_t-12,6.559903198032379e-05,temporal_day
day_of_week_t-1,6.521262279751969e-05,temporal_day
day_of_week_t-6,6.222000780964578e-05,temporal_day
day_of_week_t-8,5.9511527678201956e-05,temporal_day
month_t-1,5.512307920416648e-05,temporal_month
day_of_week_t-3,5.437567214962322e-05,temporal_day
day_of_week_t-7,5.21326503547069e-05,temporal_day
day_of_week_t-11,5.150977923794835e-05,temporal_day
day_of_week_t-10,5.088104060841759e-05,temporal_day
day_of_week_t-2,5.042479864263994e-05,temporal_day
month_t-6,4.530862474933855e-05,temporal_month
day_of_week_t-4,3.9505845546817034e-05,temporal_day
month_t-3,3.669073752420279e-05,temporal_month
month_t-8,3.575280721152802e-05,temporal_month
month_t-5,3.4257948460702535e-05,temporal_month
month_t-11,3.099653833419402e-05,temporal_month
month_t-2,2.9111297720042043e-05,temporal_month
month_t-9,2.8345423996030987e-05,temporal_month
month_t-4,2.7116726457451716e-05,temporal_month
month_t-10,2.5976615119018204e-05,temporal_month
month_t-12,2.342049723391077e-05,temporal_month
month_t-7,2.234197834688805e-05,temporal_month
is_weekend_t-11,9.154282292371466e-06,temporal_weekend
is_weekend_t-5,8.30767018431242e-06,temporal_weekend
is_weekend_t-6,8.281638089461403e-06,temporal_weekend
is_weekend_t-12,7.830148274551093e-06,temporal_weekend
is_weekend_t-1,7.038724985513947e-06,temporal_weekend
is_weekend_t-9,6.892264867729697e-06,temporal_weekend
is_weekend_t-10,6.475274129417884e-06,temporal_weekend
is_weekend_t-8,5.974485783122979e-06,temporal_weekend
is_weekend_t-3,5.6923424510141756e-06,temporal_weekend
is_weekend_t-7,5.365723090603331e-06,temporal_weekend
is_weekend_t-4,4.6403400960393185e-06,temporal_weekend
is_weekend_t-2,3.6935399444628064e-06,temporal_weekend
