target,site,pollutant,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,n_estimators,max_depth,min_samples_split,min_samples_leaf
BX2_PM25,BX2,PM25,0.9564936779440939,0.008014278115636536,0.005097453579554874,0.894146918503657,0.02116777223585638,0.010877819555327116,0.8175008383950187,0.009673030235799306,0.005230815785799196,100,10,2,1
BY7_NO2,BY7,NO2,0.9261318160041365,0.036834768920911996,0.02637242543476359,0.8478774702313846,0.05459725829656263,0.03826760259032433,0.7636664426467612,0.042396203970462294,0.03051959149719502,100,10,5,2
BY7_PM10,BY7,PM10,0.8479803724659131,0.024498643209176142,0.01819498962867705,0.660828543308482,0.041206935554045206,0.02592317888808535,0.501501466748733,0.03139495398195866,0.020972540878240062,100,10,5,1
BY7_PM25,BY7,PM25,0.8353682236317187,0.02649196421830449,0.020553857006215943,0.7197120248255897,0.04846494428745823,0.03245866876627944,0.3836760439233887,0.03872604041981868,0.026050949817500717,100,10,2,1
CD1_NO2,CD1,NO2,0.904087879755577,0.03545780888195161,0.020476949887974744,0.7714288637850912,0.07693808357742896,0.05237981595967967,0.6613245056765774,0.058084915917952964,0.038571851084133274,100,10,5,2
CD1_PM10,CD1,PM10,0.8796523552571405,0.02473735729438466,0.014929286425408719,0.669072471106395,0.08668249938399665,0.04787300763626258,0.60699602701524,0.050870464243017895,0.03478568061901842,100,10,5,1
CD1_PM25,CD1,PM25,0.900758770399013,0.017157854405284584,0.010612577411814816,0.851480901465363,0.04448241449322806,0.03017754827928067,0.5763935570761347,0.03839239319297117,0.0238871681852286,100,10,2,1
CE2_NO2,CE2,NO2,0.9288052448981372,0.028581350979384277,0.02030650654222412,0.8735578266586583,0.046676910334791724,0.035027897639526545,0.7563067742476981,0.04222334201104412,0.03221600545750595,100,10,5,2
CE2_O3,CE2,O3,0.9586731082589508,0.030509764516190904,0.022398964653861524,0.9122767691845869,0.036942038942959714,0.020070105721672768,0.8885412676063207,0.04625079838024445,0.030354557990799034,100,10,5,1
CE2_PM10,CE2,PM10,0.8914375738912307,0.00955446360311395,0.004872515123572186,0.8399452947896352,0.01193902596115397,0.006774795239588124,0.5178596736938101,0.010339056701660677,0.005022538670901485,100,10,5,1
CE2_PM25,CE2,PM25,0.9366024854648811,0.007168095596669874,0.0036905777993053207,0.902826833499845,0.01259000409370994,0.006594699491035933,0.7573309671643789,0.007393592365952295,0.0037913542300096106,100,10,2,1
CE3_NO2,CE3,NO2,0.9153611831938304,0.030341988660247225,0.017788163864682686,0.8402551503849394,0.05086361310584394,0.033639398927526584,0.8520283863120027,0.031195406847301238,0.016867461045698244,100,10,5,2
CE3_PM10,CE3,PM10,0.9270594512594691,0.016921714287333984,0.009769428686020178,0.742036574221901,0.056590826500336,0.023398765988754535,0.6746801972294745,0.032906028648502526,0.02102169737481317,100,10,5,1
CE3_PM25,CE3,PM25,0.9502655464066575,0.01483657104873741,0.00849366413526223,0.8774934553784361,0.04250244572992241,0.022007329642631603,0.7079317711778508,0.02840849176129957,0.017800933151899206,100,10,2,1
CR5_NO2,CR5,NO2,0.9494863614034382,0.03201068267689735,0.023551437240394733,0.8846868565429402,0.04221864049778445,0.031394038809742314,0.8293309679370218,0.038356023423920305,0.027393524047355733,100,10,5,2
CR7_NO2,CR7,NO2,0.9114255751065722,0.038045353746402284,0.026463647592115416,0.7784352128945029,0.036352422321838114,0.022804838979353995,0.8085510252477994,0.04679515774220635,0.03462032043949795,100,10,5,2
CR8_PM25,CR8,PM25,0.9263801679502154,0.02041050862119754,0.015614728341913398,0.8837187700969972,0.035143486612953585,0.02266892339221464,0.0,0.00870519976088279,0.006587232498018998,100,10,2,1
CW3_NO2,CW3,NO2,0.9482106030053468,0.028644382425213208,0.020815737161583064,0.8921091282896587,0.05087391298602244,0.03269874025367596,0.7873073033694686,0.03622591725984056,0.024864067943574406,100,10,5,2
CW3_PM10,CW3,PM10,0.9560749125154406,0.020624933358207812,0.014034327456266331,0.9202081702584096,0.04513454879203322,0.027082306578333767,0.8536170578676193,0.025474722386769007,0.01705781994930498,100,10,5,1
CW3_PM25,CW3,PM25,0.9714956420139225,0.01688617058025018,0.01123237952357937,0.9291648363660968,0.047152109561385665,0.023291147725726522,0.8937369976354939,0.020046379106862626,0.012354968647612583,100,10,2,1
EA6_NO2,EA6,NO2,0.9036374062319066,0.03713870686354725,0.028070337339117884,0.8293994395893589,0.053595535046955085,0.03711065746165405,0.8015445652397466,0.05845778629712635,0.04078156957614661,100,10,5,2
EA6_PM10,EA6,PM10,0.8580251808073822,0.020524945283829834,0.014206328508443543,0.8490105435837068,0.0318059389520751,0.019517962980092944,0.590958792444974,0.0228412691741298,0.014017950230744836,100,10,5,1
EA8_NO2,EA8,NO2,0.9209662184467744,0.03329948603446542,0.02480586530608943,0.8624820268270995,0.044037802213747736,0.031302396254112824,0.804751946583497,0.03549145683018388,0.02511134312040697,100,10,5,2
EA8_PM10,EA8,PM10,0.882661626997591,0.02086854294462177,0.013487017551072079,0.6878651591077227,0.03240397168261615,0.019161684913003376,0.6251904046916323,0.046959569730369716,0.02337939861968405,100,10,5,1
EI1_NO2,EI1,NO2,0.9319489337161737,0.039129198470828006,0.029419092630418524,0.9033205751527971,0.0511774472953365,0.03687719887784747,0.8037663217388077,0.04630564613987866,0.033778096591888074,100,10,5,2
EI1_PM10,EI1,PM10,0.8704812622513515,0.011350292043132083,0.008035457965302462,0.759196107460417,0.016409070015983667,0.010780508417558801,0.6410428112614857,0.010839513410420791,0.006950958881151818,100,10,5,1
EI8_PM10,EI8,PM10,0.890053603085833,0.024408090502742803,0.015356324777835087,0.5593199763026081,0.05510923291516719,0.029249787226102168,0.6516511556226654,0.062205429481551826,0.03263718600445712,100,10,5,1
EN1_NO2,EN1,NO2,0.9589255019506929,0.027533226101040604,0.01940802769639374,0.9171850070536796,0.04452840116495717,0.02950741631141434,0.8640900075928755,0.03269273653326194,0.02170683897271498,100,10,5,2
EN4_NO2,EN4,NO2,0.9356450878446064,0.028234158420637628,0.0204053573063962,0.8704837819900736,0.044313072430297515,0.029893873819761774,0.7968625798614468,0.032117521336716595,0.022547639727690513,100,10,5,2
EN5_NO2,EN5,NO2,0.931084301243413,0.036628670679959945,0.026699617797549872,0.8814917042191543,0.06062335065684927,0.04126253770107545,0.8218368049833874,0.045187549648363017,0.03131514541833784,100,10,5,2
EN7_NO2,EN7,NO2,0.929006433282981,0.036674469100165606,0.025651828619429985,0.8770754105327148,0.05886103910127199,0.03831860578321872,0.8059581111136298,0.0436429230488784,0.025498654080236438,100,10,5,2
